timestamp,coin,price
2026-05-24 13-20-06,bitcoin,76806
2026-05-24 13-20-06,ethereum,2118.94
2026-05-24 13-20-06,tether,0.998726
2026-05-24 13-20-06,binancecoin,657.87
2026-05-24 13-20-06,ripple,1.36
2026-05-24 13-20-06,usd-coin,0.999744
2026-05-24 13-20-06,solana,86.44
2026-05-24 13-20-06,tron,0.362807
2026-05-24 13-20-06,figure-heloc,1.03
2026-05-24 13-20-06,dogecoin,0.102732
2026-05-24 13-20-08,bitcoin,76806
2026-05-24 13-20-08,ethereum,2118.94
2026-05-24 13-20-08,tether,0.998726
2026-05-24 13-20-08,binancecoin,657.87
2026-05-24 13-20-08,ripple,1.36
2026-05-24 13-20-08,usd-coin,0.999744
2026-05-24 13-20-08,solana,86.44
2026-05-24 13-20-08,tron,0.362807
2026-05-24 13-20-08,figure-heloc,1.03
2026-05-24 13-20-08,dogecoin,0.102732
